Key,Arabic,French,English
start_adventure,فلنبدأ المغامرة! , Commençons l'aventure! , Let's start the adventure!
login,تسجيل الدخول,Connexion,Sign in
login_with_google,تسجيل الدخول باستخدام Google,Se connecter avec Google,Sign in with Google
or,أو,ou,or
mobile_number_prompt,ماهو رقم هاتفك الجوال؟,Quel est votred numéro de téléphone?,What is your mobile phone number?
phone_number_placeholder,رقم الهاتف,Numéro de téléphone,Phone number
privacy_policy_consent,بتسجيلك أنت توافق على >/color< سياسة الخصوصية >color=red<, >/color< la politique de confidentialité >color=red< En t’inscrivant tu acceptes,>/color< the privacy policy >color=red< By signing up you agree to 
privacy_policy_title,مبادئ الخصوصية,Principes de confidentialité,Privacy Policies
privacy_policy_content,"تقوم سياسة الخصوصية الخاصة بنا على المبادئ التالية. لك الحرية في الاشتراك بأي نشاط على منصاتنا يتضمن تقديمك لمعلومات شخصية، مثل اسمك، أو بريدك الإلكتروني، أو رقم هاتفك أو أي معلومات يمكن استخدامها لتحديد أو الاتصال بأي فرد سواء عبر الإنترنت أو خارجه. سوف نقوم صراحة بطلب هذا النوع من المعلومات منك. علماً بأن جزء من الأنشطة على منصتنا لا تتطلب إرسال أي معلومات شخصية. (عندما نطلب منكم تقديم معلومات شخصية، سوف نقوم أثناء عملية التسجيل أو جمع البيانات بشرح الكيفية التي سوف نستخدم فيها هذه المعلومات (مثل طلب عنوان البريد إلكتروني عند التسجيل للحصول على نشرة بريدية). و سوف نقوم باستخدام هذه المعلومات فقط بالطريقة التي بيناها، باستثناء الظروف الخاصة التي سيتم شرحها لاحقا( مثل تلك التي تتعلق بتطبيق القانون أو نقل الأعمال. نحن نستخدم المعلومات المجهولة التي يتم جمعها تلقائياً من الجهاز الخاص بك، مثل عنوان “بروتوكول الإنترنت” الخاص بالكمبيوتر، ومعرف الجهاز المحمول، ونظام التشغيل أو الموقع العام مثل الرمز البريدي، لدعم العمليات الداخلية بحيث يمكننا أن نفهم، ونرصد استخدام منصاتنا ونقوم بتحسين تلك المنصات. لا تتضمن منصاتنا أي إعلانات قائمة على سلوك المستخدم؛ مما يعني أنك لن ترى أي إعلان يستهدفك بناءً على نشاطك على منصاتنا أو على مواقع و تطبيقات أخرى. تعتبر الأطراف الثالثة التي تقوم بالمساعدة في المنصات ملزمة باتباع “سياسة الخصوصية” هذه. خاص للأطفال تحت سن 13. سنقوم بالحصول على موافقة الوالدين قبل طلب المعلومات الشخصية على منصاتنا الخاصة بالأطفال، ما لم يكن طلب المعلومات يندرج تحت استثناء مسموح به في قانون حماية خصوصية الأطفال COPPA. نطالب بالوصول إلى الكاميرا لعرض تقنية الواقع المعزز. نطالب بالوصول إلى الإخطار Notification لإعلام المستخدم بالأخبار الجديدة. لا نتيح المعلومات الشخصية التي نجمعها من الأطفال بشكل علني ولا نمكن الأطفال من القيام بذلك على منصاتنا. كما أننا لن نشترط مقابل مشاركة طفل في أي نشاط أو خدمة، الإفصاح عن معلومات شخصية أكثر مما هو ضروري بشكل معقول للمشاركة بأي نشاط. يمكن للأهالي الاتصال بنا من خلال (contact@Feridaroundtheworld.com) لمراجعة أو تحديث أو إلغاء أي من معلومات أطفالهم الشخصية التي قد نكون جمعناها،أو لإخبارنا بعدم جمع أي معلومات إضافية من أطفالهم. سوف نقوم بتحديث سياسة الخصوصية هذه من وقت لآخر بنشر سياسة الخصوصية المحدثة عبر الإنترنت. لن نقوم بتغيير كيفية التعامل مع المعلومات التي تم جمعها مسبقاً دون إشعار الأهالي والحصول على موافقتهما عند الضرورة.","Notre politique de confidentialité repose sur les principes suivants. Vous êtes libre de participer à toute activité sur nos plateformes impliquant la fourniture d’informations personnelles, telles que votre nom, votre e-mail, votre numéro de téléphone ou toute information pouvant être utilisée pour identifier ou contacter toute personne, en ligne ou hors ligne. Nous demanderons explicitement ce type d’information. Certaines activités sur notre plateforme ne nécessitent pas l’envoi d’informations personnelles. Lorsque nous demandons des informations personnelles, nous expliquons lors de l’inscription ou de la collecte de données comment nous utiliserons ces informations (par exemple, demander une adresse e-mail pour s’inscrire à une newsletter). Nous utiliserons ces informations uniquement de la manière indiquée, sauf dans des circonstances particulières qui seront expliquées plus tard (telles que l’application de la loi ou le transfert d’entreprise). Nous utilisons les informations anonymes collectées automatiquement depuis votre appareil, telles que l’adresse IP, l’identifiant de l’appareil mobile, le système d’exploitation ou la localisation générale comme le code postal, pour soutenir nos opérations internes afin de comprendre, surveiller et améliorer nos plateformes. Nos plateformes ne contiennent aucune publicité basée sur le comportement des utilisateurs ; cela signifie que vous ne verrez aucune publicité ciblée en fonction de votre activité sur nos plateformes ou sur d’autres sites et applications. Les tiers qui assistent sur les plateformes sont tenus de suivre cette politique de confidentialité. Spécialement pour les enfants de moins de 13 ans : nous obtiendrons le consentement des parents avant de demander des informations personnelles sur nos plateformes destinées aux enfants, sauf si la demande est couverte par une exception permise par la loi COPPA. Nous demandons l’accès à la caméra pour afficher la réalité augmentée. Nous demandons l’accès aux notifications pour informer l’utilisateur des nouvelles. Nous ne rendons pas publiques les informations personnelles collectées auprès des enfants et ne permettons pas aux enfants de le faire sur nos plateformes. Nous ne conditionnons pas la participation d’un enfant à une activité ou un service à la divulgation d’informations personnelles plus que ce qui est raisonnablement nécessaire. Les parents peuvent nous contacter via (contact@Feridaroundtheworld.com) pour examiner, mettre à jour ou supprimer les informations personnelles de leurs enfants ou pour nous informer de ne pas collecter d’informations supplémentaires auprès de leurs enfants. Nous mettrons à jour cette politique de confidentialité de temps à autre en publiant la version mise à jour en ligne. Nous ne modifierons pas la manière dont les informations précédemment collectées sont traitées sans notifier les parents et obtenir leur consentement si nécessaire.","Our privacy policy is based on the following principles. You are free to participate in any activity on our platforms involving providing personal information, such as your name, email, phone number, or any information that can be used to identify or contact any individual online or offline. We will explicitly request this type of information. Note that some activities on our platform do not require submitting any personal information. When we request personal information, we explain during registration or data collection how we will use this information (for example, requesting an email address when signing up for a newsletter). We will use this information only in the manner we have outlined, except in special circumstances that will be explained later (such as those related to law enforcement or business transfers). We use anonymous information collected automatically from your device, such as your computer's IP address, mobile device ID, operating system, or general location like zip code, to support internal operations so that we can understand, monitor, and improve our platforms. Our platforms do not include any user behavior-based advertising; this means you will not see any ad targeting based on your activity on our platforms or other sites and apps. Third parties assisting on the platforms are required to follow this privacy policy. Special for children under 13: We will obtain parental consent before requesting personal information on our child-specific platforms unless the request falls under an exception allowed by COPPA. We request access to the camera to display augmented reality. We request access to notifications to inform the user of new updates. We do not make personal information collected from children public, nor do we allow children to do so on our platforms. We will not require more personal information than reasonably necessary for a child to participate in any activity or service. Parents can contact us at (contact@Feridaroundtheworld.com) to review, update, or delete any personal information about their children we may have collected, or to inform us not to collect any additional information from their children. We will update this privacy policy from time to time by publishing the updated privacy policy online. We will not change how previously collected information is handled without notifying parents and obtaining their consent when necessary."
automatic_data_collection,"المعلومات التي نقوم بجمعها تلقائياً","Les informations que nous collectons automatiquement","The information we collect automatically"
